"Month","Monthly % changes in Canadian wages and salaries ?67 ? ?75"
"1967-01",0.71
"1967-02",1.47
"1967-03",1.61
"1967-04",2.97
"1967-05",3.58
"1967-06",0.94
"1967-07",0.68
"1967-08",0.32
"1967-09",?0.67
"1967-10",0.02
"1967-11",?2.56
"1967-12",?0.84
"1968-01",0.38
"1968-02",1.18
"1968-03",1.95
"1968-04",4.08
"1968-05",2.41
"1968-06",0.55
"1968-07",1.16
"1968-08",1.70
"1968-09",0.13
"1968-10",0.63
"1968-11",?2.19
"1968-12",?0.32
"1969-01",1.48
"1969-02",0.84
"1969-03",1.45
"1969-04",3.00
"1969-05",3.24
"1969-06",?0.62
"1969-07",0.35
"1969-08",3.26
"1969-09",?0.53
"1969-10",0.90
"1969-11",?1.31
"1969-12",?0.91
"1970-01",0.46
"1970-02",0.50
"1970-03",0.96
"1970-04",2.23
"1970-05",3.27
"1970-06",?1.95
"1970-07",0.65
"1970-08",3.05
"1970-09",0.23
"1970-10",?0.45
"1970-11",?1.78
"1970-12",?1.44
"1971-01",1.49
"1971-02",1.22
"1971-03",2.22
"1971-04",4.76
"1971-05",3.04
"1971-06",?2.39
"1971-07",0.89
"1971-08",3.33
"1971-09",?0.14
"1971-10",?0.47
"1971-11",?1.79
"1971-12",?0.49
"1972-01",0.58
"1972-02",2.11
"1972-03",0.69
"1972-04",3.81
"1972-05",3.32
"1972-06",?2.26
"1972-07",1.46
"1972-08",3.81
"1972-09",0.96
"1972-10",?0.03
"1972-11",0.50
"1972-12",?1.70
"1973-01",2.51
"1973-02",0.75
"1973-03",2.21
"1973-04",3.15
"1973-05",3.05
"1973-06",?2.36
"1973-07",0.26
"1973-08",4.94
"1973-09",1.44
"1973-10",?0.12
"1973-11",?1.08
"1973-12",0.19
"1974-01",1.03
"1974-02",2.12
"1974-03",1.58
"1974-04",4.51
"1974-05",2.96
"1974-06",0.30
"1974-07",1.66
"1974-08",4.65
"1974-09",?0.43
"1974-10",?0.43
"1974-11",1.19
"1974-12",?2.93
"1975-01",0.21
"1975-02",2.09
"1975-03",1.60
"1975-04",4.64
"1975-05",2.98
"1975-06",0.86
"1975-07",?1.88
"1975-08",5.01

Monthly % changes in Canadian wages and salaries ?67 ? ?75

